"transaction_id","bank","occurred_at","month","transaction_type","amount","category","review_status","include_in_spending","cashflow_type","counterparty","content","debt_person","principal_amount","interest_amount","telegram_message_id","email_id","raw_subject","raw_from","raw_snippet","personal_amount","shared_with_count","reimbursable_amount","split_note"
"demo-202606-001","MB Bank","2026-06-01 08:12:44","2026-06","income","15000000","Thu nhập","confirmed","FALSE","income","ACME ANALYTICS DEMO","luong thang 6","","","0","","email-demo-001","Thong bao giao dich thanh cong","<mbebanking@mbbank.com.vn>","Tai khoan ghi co 15000000 VND noi dung luong thang 6","","","",""
"demo-202606-002","MB Bank","2026-06-02 12:18:09","2026-06","expense","85000","Ăn uống","confirmed","TRUE","spending","COFFEE HOUSE DEMO","anuong cafe","","","","","email-demo-002","Thong bao giao dich thanh cong","<mbebanking@mbbank.com.vn>","Tai khoan trich no 85000 VND noi dung anuong cafe","","","",""
"demo-202606-003","MB Bank","2026-06-03 19:42:11","2026-06","expense","320000","Siêu thị","confirmed","TRUE","spending","MINI MART DEMO","sieuthi groceries","","","","","email-demo-003","Thong bao giao dich thanh cong","<mbebanking@mbbank.com.vn>","Tai khoan trich no 320000 VND noi dung sieuthi groceries","","","",""
"demo-202606-004","MB Bank","2026-06-05 08:03:12","2026-06","expense","45000","Di chuyển","confirmed","TRUE","spending","RIDE HAILING DEMO","dichuyen grab","","","","","email-demo-004","Thong bao giao dich thanh cong","<mbebanking@mbbank.com.vn>","Tai khoan trich no 45000 VND noi dung dichuyen grab","","","",""
"demo-202606-005","MB Bank","2026-06-07 21:15:29","2026-06","expense","250000","Giải trí","confirmed","TRUE","spending","CINEMA DEMO","giaitri movie","","","","","email-demo-005","Thong bao giao dich thanh cong","<mbebanking@mbbank.com.vn>","Tai khoan trich no 250000 VND noi dung giaitri movie","","","",""
"demo-202606-006","MB Bank","2026-06-10 10:00:00","2026-06","expense","2500000","Nhà cửa","confirmed","TRUE","spending","LANDLORD DEMO","nhatro rent","","","","","email-demo-006","Thong bao giao dich thanh cong","<mbebanking@mbbank.com.vn>","Tai khoan trich no 2500000 VND noi dung nhatro rent","","","",""
"demo-202606-007","MB Bank","2026-06-12 13:24:55","2026-06","expense","150000","Cần phân loại","needs_review","FALSE","needs_review","UNKNOWN MERCHANT DEMO","lunch with team","","","","","email-demo-007","Thong bao giao dich thanh cong","<mbebanking@mbbank.com.vn>","Tai khoan trich no 150000 VND noi dung lunch with team","","","",""
"demo-202606-008","MB Bank","2026-06-15 09:11:02","2026-06","income","1000000","Vay nhận vào","confirmed","FALSE","loan_in","FRIEND A DEMO","vay tien tu ban","FRIEND A DEMO","1000000","0","","email-demo-008","Thong bao giao dich thanh cong","<mbebanking@mbbank.com.vn>","Tai khoan ghi co 1000000 VND noi dung vay tien tu ban","","","",""
"demo-202606-009","MB Bank","2026-06-20 18:45:00","2026-06","expense","300000","Trả nợ gốc","confirmed","FALSE","loan_repayment","FRIEND A DEMO","trano goc","FRIEND A DEMO","300000","0","","email-demo-009","Thong bao giao dich thanh cong","<mbebanking@mbbank.com.vn>","Tai khoan trich no 300000 VND noi dung trano goc","","","",""
"demo-202606-010","MB Bank","2026-06-22 22:02:18","2026-06","expense","125000","Sức khỏe","confirmed","TRUE","spending","PHARMACY DEMO","suckhoe medicine","","","","","email-demo-010","Thong bao giao dich thanh cong","<mbebanking@mbbank.com.vn>","Tai khoan trich no 125000 VND noi dung suckhoe medicine","","","",""
"demo-202606-011","MB Bank","2026-06-24 07:35:00","2026-06","expense","2000000","Tiết kiệm","confirmed","FALSE","saving","SAVINGS ACCOUNT DEMO","tietkiem emergency fund","","","","","email-demo-011","Thong bao giao dich thanh cong","<mbebanking@mbbank.com.vn>","Tai khoan trich no 2000000 VND noi dung tietkiem emergency fund","","","",""
"demo-202606-012","MB Bank","2026-06-28 16:20:33","2026-06","expense","620000","Mua sắm","confirmed","TRUE","spending","ONLINE SHOP DEMO","muasam shirt","","","","","email-demo-012","Thong bao giao dich thanh cong","<mbebanking@mbbank.com.vn>","Tai khoan trich no 620000 VND noi dung muasam shirt","","","",""
"demo-202607-001","MB Bank","2026-07-01 08:05:44","2026-07","income","15500000","Thu nhập","confirmed","FALSE","income","ACME ANALYTICS DEMO","luong thang 7","","","0","","email-demo-013","Thong bao giao dich thanh cong","<mbebanking@mbbank.com.vn>","Tai khoan ghi co 15500000 VND noi dung luong thang 7","","","",""
